lat,lon,name,type
-37.79241029792183,144.95854327429197,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.822473896289935,144.92102531585414,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.82553817053317,144.95708428770402,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.82111989773946,144.91851629868225,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.81172390817975,144.95668033737152,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.827796021172645,144.90881358787925,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.795210432231336,144.9362942830282,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.79586287067063,144.97092135820924,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.82314198554255,144.96463636128402,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.80067995380995,144.96981348058867,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.78068129995275,144.95126818156393,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80432561240479,144.96947035841606,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.78069264722452,144.91477250953216,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.829554112192,144.9010255967418,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.78853199618733,144.93353392781896,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.81178098838014,144.9561942988128,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79733528507864,144.96751272850565,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.79784952551261,144.94139186459046,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.81877756815632,144.98186969479318,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.80039992301755,144.91665597967068,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.823547652422064,144.96847951664122,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.798900728955765,144.94922621224848,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.80294344100893,144.94833854164688,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.8032564323768,144.9495344838827,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.84112272045477,144.98584971613218,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.838256978951584,144.9151365838097,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.81946791403019,144.96111643458073,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.807560935966926,144.91815632059857,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.7941064598088,144.94708934299945,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.8137522630152,144.96027134357547,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.81696691132416,144.96133145497072,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.795521349230825,144.9581692891698,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80299443103376,144.94943962445095,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79564535738303,144.95795134835055,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.82578298451381,144.96669743933597,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.81496421167442,144.9523146850266,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
